"","domain","phylum","class","order","family","genus","species"
"ASV_938","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales",NA,NA,NA
"ASV_1820","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae",NA,NA
"ASV_953","Bacteria","Bacteroidota","Bacteroidia",NA,NA,NA,NA
"ASV_9305","Bacteria","Firmicutes","Clostridia",NA,NA,NA,NA
"ASV_13988","Bacteria","Chloroflexi",NA,NA,NA,NA,NA
"ASV_2291","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales",NA,NA,NA
"ASV_17529","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,NA
"ASV_16693","Bacteria",NA,NA,NA,NA,NA,NA
"ASV_3357","Bacteria","Cyanobacteria","Cyanobacteriia",NA,NA,NA,NA
"ASV_16656","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales",NA,NA,NA
"ASV_3707","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Paraspirulinaceae","Spirulina DRTO-55.2",NA
"ASV_2404","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Paraspirulinaceae",NA,NA
"ASV_2903","Bacteria","Firmicutes","Bacilli","Staphylococcales","Staphylococcaceae","Auricoccus-Abyssicoccus",NA
"ASV_1547","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Propionigenium",NA
"ASV_137","Bacteria","Cyanobacteria","Cyanobacteriia","Eurycoccales","Eurycoccales Incertae Sedis","Synechococcus PCC-7336",NA
"ASV_18218","Bacteria","Cyanobacteria","Cyanobacteriia","Eurycoccales","Eurycoccales Incertae Sedis","Synechococcus PCC-7336",NA
"ASV_2849","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307",NA
"ASV_548","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Cyanobium PCC-6307",NA
"ASV_981","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales",NA,NA,NA
"ASV_1219","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales",NA,NA,NA
"ASV_5206","Bacteria","Cyanobacteria","Cyanobacteriia","Phormidesmiales","Nodosilineaceae",NA,NA
"ASV_14885","Bacteria","Cyanobacteria","Cyanobacteriia","Phormidesmiales","Nodosilineaceae",NA,NA
"ASV_12652","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales",NA,NA,NA
"ASV_3055","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Prochlorococcus MIT9313",NA
"ASV_17396","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales",NA,NA,NA
"ASV_3210","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae","Synechocystis BDHKU-20401",NA
"ASV_837","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales",NA,NA,NA
"ASV_5582","Bacteria","Cyanobacteria","Cyanobacteriia",NA,NA,NA,NA
"ASV_15000","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales","Microcystaceae",NA,NA
"ASV_2211","Bacteria","Cyanobacteria","Cyanobacteriia","Phormidesmiales","Phormidesmiaceae","Acrophormium PCC-7375",NA
"ASV_7567","Bacteria","Cyanobacteria","Cyanobacteriia","Phormidesmiales","Phormidesmiaceae","Acrophormium PCC-7375",NA
"ASV_7724","Bacteria","Cyanobacteria","Cyanobacteriia","Phormidesmiales",NA,NA,NA
"ASV_2585","Bacteria","Cyanobacteria","Cyanobacteriia","Phormidesmiales",NA,NA,NA
"ASV_18240","Bacteria","Cyanobacteria","Cyanobacteriia","Phormidesmiales",NA,NA,NA
"ASV_5767","Bacteria","Cyanobacteria","Cyanobacteriia","Phormidesmiales",NA,NA,NA
"ASV_423","Bacteria","Cyanobacteria","Cyanobacteriia","Phormidesmiales","Phormidesmiaceae","Acrophormium PCC-7375",NA
"ASV_3085","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Synechococcales Incertae Sedis","Schizothrix LEGE 07164",NA
"ASV_12653","Bacteria","Cyanobacteria","Cyanobacteriia","Cyanobacteriales",NA,NA,NA
"ASV_1351","Bacteria","Cyanobacteria","Cyanobacteriia",NA,NA,NA,NA
"ASV_1633","Bacteria","Cyanobacteria","Cyanobacteriia",NA,NA,NA,NA
